pcr_lab_id,pcr_date,id_tag,assay,threshold,run_inhibited,inhibition_ct,mean_ct,wells_amplified,wells,well_1_ct,well_2_ct,well_3_ct,std_curve,mean_quant,sd_quant,efficiency,r2,final_data
NGC,1/16/2024,617_G1_72 HR,DMAR,0.065313835,N,-0.018676159,36.56408701,3,3,36.70869122656701,38.17831575128001,34.80525406536698,Y,4.325046507,4.365456243,92.15010791,0.990828854,2
NGC,1/16/2024,565_F4_10 DAY,DMAR,0.065313835,N,-0.007840891,34.57514878,3,3,34.435987988037624,34.50894225375929,34.78051609211367,Y,10.82857597,1.245350913,92.15010791,0.990828854,2
NGC,1/25/2024,271_E5_24 HR,DMAR,0.050889864,N,0.093200475,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,91.48064163,0.987576311,2
NGC,1/25/2024,271_E5_7 DAY,DMAR,0.050889864,N,0.006546016,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,91.48064163,0.987576311,2
NGC,1/25/2024,271_F1_48 HR,DMAR,0.050889864,N,-0.017574458,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,91.48064163,0.987576311,2
NGC,1/25/2024,271_F1_72 HR,DMAR,0.050889864,N,-0.011039565,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,91.48064163,0.987576311,2
NGC,1/25/2024,271_F2_24 HR,DMAR,0.050889864,N,0.111043144,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,91.48064163,0.987576311,2
NGC,1/25/2024,565_F3_1 HR,DMAR,0.050889864,N,-0.044650244,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,91.48064163,0.987576311,2
NGC,1/25/2024,565_F3_6 DAY,DMAR,0.050889864,N,0.202665636,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,91.48064163,0.987576311,2
NGC,1/25/2024,617_G2_1 HR,DMAR,0.050889864,N,0.004854461,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,91.48064163,0.987576311,2
NGC,1/25/2024,617_G2_10 DAY,DMAR,0.050889864,N,0.107608487,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,91.48064163,0.987576311,2
NGC,1/25/2024,617_G3_1 HR,DMAR,0.050889864,N,-0.093013666,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,91.48064163,0.987576311,2
NGC,1/25/2024,617_G3_72 HR,DMAR,0.050889864,N,0.01480087,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,91.48064163,0.987576311,2
NGC,1/25/2024,617_G4_72 HR,DMAR,0.050889864,N,0.006375964,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,91.48064163,0.987576311,2
NGC,1/25/2024,618_E1_24 HR,DMAR,0.050889864,N,0.208555976,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,91.48064163,0.987576311,2
NGC,1/25/2024,618_E4_48 HR,DMAR,0.050889864,N,0.095305272,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,91.48064163,0.987576311,2
NGC,1/25/2024,621_H1_4 HR,DMAR,0.050889864,N,0.010894964,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,91.48064163,0.987576311,2
NGC,1/25/2024,621_H1_48 HR,DMAR,0.050889864,N,-0.011842016,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,91.48064163,0.987576311,2
NGC,1/25/2024,621_I1_24 HR,DMAR,0.050889864,N,0.008764576,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,91.48064163,0.987576311,2
NGC,1/25/2024,621_I1_48 HR,DMAR,0.050889864,N,0.002892821,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,91.48064163,0.987576311,2
NGC,1/25/2024,621_I2_NEG,DMAR,0.050889864,N,-0.028825556,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,91.48064163,0.987576311,2
NGC,1/25/2024,565_F3_24 HR,DMAR,0.050889864,N,0.098201216,37.71561937,1,3,37.71561937,Undetermined,Undetermined,Y,0.509947608,0.883255166,91.48064163,0.987576311,2
NGC,1/25/2024,627_D3_48 HR,DMAR,0.050889864,N,-0.031520694,37.05333779,1,3,37.05333778926743,Undetermined,Undetermined,Y,0.784103212,1.358106601,91.48064163,0.987576311,2
NGC,1/25/2024,416_B1_7 DAY,DMAR,0.050889864,N,0.014332184,36.48439376,1,3,Undetermined,Undetermined,36.48439376445269,Y,1.134717727,1.965388756,91.48064163,0.987576311,2
NGC,1/25/2024,627_D3_72 HR,DMAR,0.050889864,N,-0.112301956,36.64370217,3,3,36.17373314471621,36.279269192896905,37.478104183739404,Y,3.279945563,1.301931003,91.48064163,0.987576311,2
NGC,1/25/2024,617_G1_48 HR,DMAR,0.050889864,N,0.030550907,36.49951895,3,3,36.486706364539685,35.38477122597901,37.62707924458398,Y,3.991194866,2.715713583,91.48064163,0.987576311,2
NGC,1/30/2024,271_E6_24 HR,DMAR,0.050257737,N,0.015599058,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.85636704,0.997098997,2
NGC,1/30/2024,416_A2_10 DAY,DMAR,0.050257737,N,0.032518805,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.85636704,0.997098997,2
NGC,1/30/2024,416_A2_7 DAY,DMAR,0.050257737,N,0.070820942,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.85636704,0.997098997,2
NGC,1/30/2024,565_F4_6 DAY,DMAR,0.050257737,N,0.007349346,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.85636704,0.997098997,2
NGC,1/30/2024,565_F5_48 HR,DMAR,0.050257737,N,0.001180996,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.85636704,0.997098997,2
NGC,1/30/2024,617_G2_4 HR,DMAR,0.050257737,N,0.018713878,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.85636704,0.997098997,2
NGC,1/30/2024,617_G2_48 HR,DMAR,0.050257737,N,0.017831338,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.85636704,0.997098997,2
NGC,1/30/2024,618_E2_NEG,DMAR,0.050257737,N,0.008385355,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.85636704,0.997098997,2
NGC,1/30/2024,620_C2_NEG,DMAR,0.050257737,N,-0.003087438,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.85636704,0.997098997,2
NGC,1/30/2024,621_H1_10 DAY,DMAR,0.050257737,N,0.042262612,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.85636704,0.997098997,2
NGC,1/30/2024,621_H2_10 DAY,DMAR,0.050257737,N,0.012422717,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.85636704,0.997098997,2
NGC,1/30/2024,621_H2_48 HR,DMAR,0.050257737,N,0.003853689,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.85636704,0.997098997,2
NGC,1/30/2024,621_I2_72 HR,DMAR,0.050257737,N,0.01361685,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.85636704,0.997098997,2
NGC,1/30/2024,627_D4_7 DAY,DMAR,0.050257737,N,0.001784235,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.85636704,0.997098997,2
NGC,1/30/2024,627_D5_7 DAY,DMAR,0.050257737,N,9.21164005980302e-05,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.85636704,0.997098997,2
NGC,1/30/2024,621_H2_1 HR,DMAR,0.050257737,N,-0.012455888,37.48445423,2,3,37.445273039393484,37.523635425896714,Undetermined,Y,1.106239359,0.958937315,89.85636704,0.997098997,2
NGC,1/30/2024,271_F2_7 DAY,DMAR,0.050257737,N,-0.019212678,36.3505055,1,3,36.35050549570799,Undetermined,Undetermined,Y,1.143943452,1.98136818,89.85636704,0.997098997,2
NGC,1/30/2024,565_F3_72 HR,DMAR,0.050257737,N,0.036927141,35.67053198,2,3,35.40856820199764,Undetermined,35.93249575276043,Y,3.588013485,3.233770535,89.85636704,0.997098997,2
NGC,1/30/2024,565_F6_10 DAY,DMAR,0.050257737,N,0.098617697,34.45319253,3,3,33.82901821407688,34.220709409556555,35.309849964548306,Y,12.47089556,5.363426093,89.85636704,0.997098997,2
NGC,1/30/2024,627_D3_7 DAY,DMAR,0.050257737,N,0.039469067,29.50385133,3,3,29.54712037029715,29.69745079,29.26698282455527,Y,278.4166349,39.6653789,89.85636704,0.997098997,2
NGC,11/9/2023,620_C1_1 HR_Filter,DMAR,0.05,N,-0.296059417,35.37393607,3,3,36.874876006140624,34.98212464250943,34.264807569971595,Y,7.229186607,4.850694597,89.88747699,0.98822364,2
NGC,11/9/2023,620_C1_24 HR_Filter,DMAR,0.05,N,-0.317326886,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.88747699,0.98822364,2
NGC,11/9/2023,620_C1_4 HR_Filter,DMAR,0.05,N,-0.304158243,30.38786939,3,3,30.45034422041038,30.39844599872906,30.314817944354203,Y,143.3551486,6.315606296,89.88747699,0.98822364,2
NGC,11/9/2023,620_C1_7 DAY_Filter,DMAR,0.05,N,-0.374875923,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.88747699,0.98822364,2
NGC,11/9/2023,620_C2_1 HR_Filter,DMAR,0.05,N,-0.317025111,35.14365916,2,3,Undetermined,36.314834103763786,33.97248422001172,Y,5.861608896,7.55088316,89.88747699,0.98822364,2
NGC,11/9/2023,620_C2_24 HR_Filter,DMAR,0.05,N,-0.212001762,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.88747699,0.98822364,2
NGC,11/9/2023,620_C2_4 HR_Filter,DMAR,0.05,N,-0.388907207,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.88747699,0.98822364,2
NGC,11/9/2023,620_C2_7 DAY_Filter,DMAR,0.05,N,-0.298384055,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.88747699,0.98822364,2
NGC,11/9/2023,620_D1_1 HR_Filter,DMAR,0.05,N,-0.348920743,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.88747699,0.98822364,2
NGC,11/9/2023,620_D1_24 HR_Filter,DMAR,0.05,N,-0.261718987,36.34364451,2,3,36.43768535686874,Undetermined,36.24960365973833,Y,2.099738273,1.828295486,89.88747699,0.98822364,2
NGC,11/9/2023,620_D1_4 HR_Filter,DMAR,0.05,N,-0.197372066,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.88747699,0.98822364,2
NGC,11/9/2023,620_D1_7 DAY_Filter,DMAR,0.05,N,-0.238168629,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.88747699,0.98822364,2
NGC,11/9/2023,620_D2_1 HR_Filter,DMAR,0.05,N,-0.160723741,36.70757186,2,3,36.82307755248944,36.59206616943331,Undetermined,Y,1.664230337,1.453035281,89.88747699,0.98822364,2
NGC,11/9/2023,620_D2_24 HR_Filter,DMAR,0.05,N,-0.307230264,36.36817994,2,3,35.21797972419347,Undetermined,37.51838016389523,Y,2.650336262,3.390426346,89.88747699,0.98822364,2
NGC,11/9/2023,620_D2_4 HR_Filter,DMAR,0.05,N,-0.30150542,31.12645904,3,3,31.34128386957262,31.086483043752644,30.951610212856842,Y,89.68884382,11.14824098,89.88747699,0.98822364,2
NGC,11/9/2023,620_D2_7 DAY_Filter,DMAR,0.05,N,-0.241237108,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.88747699,0.98822364,2
NGC,11/9/2023,620_D2_72 HR_Filter,DMAR,0.05,N,-0.313880368,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.88747699,0.98822364,2
NGC,11/9/2023,627_D3_1 HR_Filter,DMAR,0.05,N,-0.278407829,35.95609413,1,3,Undetermined,35.956094132597656,Undetermined,Y,1.3436237,2.327224514,89.88747699,0.98822364,2
NGC,11/9/2023,627_D3_24 HR_Filter,DMAR,0.05,N,-0.281170417,35.57429877,1,1,35.57429877339541,<null>,<null>,Y,5.149058902,NA,89.88747699,0.98822364,2
NGC,11/9/2023,627_D4_1 HR_Filter,DMAR,0.05,N,-0.124753158,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,89.88747699,0.98822364,2
NGC,11/9/2023,627_D5_1 HR_Filter,DMAR,0.05,N,-0.261629772,35.75376634,2,3,Undetermined,35.60323559343311,35.904297084390876,Y,3.073800158,2.698712494,89.88747699,0.98822364,2
NGC,11/9/2023,627_D6_1 HR_Filter,DMAR,0.05,N,-0.333279768,37.24806247,2,3,37.19479914434608,Undetermined,37.301325793326754,Y,1.174225017,1.01868528,89.88747699,0.98822364,2
NGC,3/8/2024,627_D5_24 HR,DMAR,0.039999999,N,0.066245672,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,88.28036002,0.995171034,2
NGC,12/21/2023,271_E6_10 DAY,DMAR,0.049176967,N,-0.010008866,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,84.58522471,0.984673735,2
NGC,12/21/2023,271_E6_7 DAY,DMAR,0.049176967,N,-0.09799585,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,84.58522471,0.984673735,2
NGC,12/21/2023,416_A2_72 HR,DMAR,0.049176967,N,-0.116610842,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,84.58522471,0.984673735,2
NGC,12/21/2023,416_B1_48 HR,DMAR,0.049176967,N,-0.108705694,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,84.58522471,0.984673735,2
NGC,12/21/2023,565_F3_48 HR,DMAR,0.049176967,N,-0.106925086,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,84.58522471,0.984673735,2
NGC,12/21/2023,565_F5_10 DAYS,DMAR,0.049176967,N,0.005371113,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,84.58522471,0.984673735,2
NGC,12/21/2023,565_F6_6 DAYS,DMAR,0.049176967,N,0.071247904,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,84.58522471,0.984673735,2
NGC,12/21/2023,617_G1_NEG,DMAR,0.049176967,N,0.025983585,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,84.58522471,0.984673735,2
NGC,12/21/2023,618_E4_10 DAY,DMAR,0.049176967,N,0.061873047,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,84.58522471,0.984673735,2
NGC,12/21/2023,620_C2_10 DAY,DMAR,0.049176967,N,-0.06406805,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,84.58522471,0.984673735,2
NGC,12/21/2023,620_D1_10 DAY,DMAR,0.049176967,N,-0.047737977,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,84.58522471,0.984673735,2
NGC,12/21/2023,620_D2_10 DAY,DMAR,0.049176967,N,-0.061242405,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,84.58522471,0.984673735,2
NGC,12/21/2023,621_H2_24 HR,DMAR,0.049176967,N,-0.046062048,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,84.58522471,0.984673735,2
NGC,12/21/2023,627_D5_9 DAY,DMAR,0.049176967,N,0.032902405,0,0,3,Undetermined,Undetermined,Undetermined,Y,0,0,84.58522471,0.984673735,2
